,Proliferation 1h (P1) /Control,Proliferation 6h (P6) /Control,Proliferation 24h (P24) /Control,Quiescence 1h (Q1) /Control,Quiescence 6h (Q6) /Control,Quiescence 24h (Q24) /Control,Quiescence 96h (Q96) /Control,Senescence 1h (S1) /Control,Senescence 6h (S6) /Control,Senescence 24h (S24) /Control,Senescence 96h (S96) /Control
GluR2 (Phospho-Ser880) ,0.992,1.03,1.051,1.25,1.408,1.328,1.016,1.144,1.06,0.923,0.935
MARCKS (Phospho-Ser158) ,1.056,1.173,1.025,1.211,1.207,1.263,1.322,1.224,1,0.971,1.049
Ezrin (Ab-353) ,0.855,1.084,1.12,0.983,0.774,0.791,0.857,0.983,1.158,0.956,1.011
Tau (Ab-235) ,0.763,1.189,0.489,0.377,0.196,0.252,0.283,0.527,0.52,0.598,0.959
Tau (Ab-181) ,0.823,0.987,1.123,0.752,0.671,0.691,0.682,0.666,1.027,1.008,0.922
Tau (Ab-205) ,0.843,0.878,0.87,0.73,0.862,0.814,0.834,0.805,0.824,0.716,0.631
Tau (Ab-214) ,0.851,0.806,0.858,0.598,0.503,0.498,0.621,0.751,0.911,0.854,1.003
Tau (Ab-231) ,0.786,0.728,0.906,0.585,0.62,0.58,0.613,0.748,0.955,0.945,0.844
Tau (Ab-262) ,0.851,0.894,1.049,0.795,0.734,0.759,0.857,0.844,1.097,1.169,1.062
Tau (Ab-404) ,0.881,0.912,0.78,0.589,0.657,0.635,0.586,0.647,0.752,0.712,0.809
G3BP-1 (Ab-232) ,0.88,0.887,0.864,0.645,0.616,0.647,0.773,0.79,0.975,0.886,0.864
Catenin beta (Ab-41/45) ,0.911,1.028,1.17,0.906,0.782,0.792,0.854,1.054,1.154,1.265,1.14
Androgen Receptor (Ab-213) ,0.886,1.026,1.198,0.879,0.743,0.793,0.762,1.043,1.105,1.258,1.068
Androgen Receptor (Ab-650) ,0.932,0.929,0.989,0.677,0.633,0.639,0.72,0.973,0.958,0.926,0.935
ICAM-1 (Ab-512) ,0.886,0.924,1.033,0.804,0.729,0.755,0.722,1.091,0.936,1.058,0.985
Paxillin (Ab-118) ,0.856,0.984,1.072,0.88,0.756,0.75,0.785,1.1,1.028,1.193,1.115
Rb (Ab-795) ,0.865,0.882,0.845,0.547,0.463,0.462,0.454,0.821,0.844,0.725,0.861
Rb (Ab-807) ,0.848,0.919,0.735,0.666,0.698,0.679,0.738,0.653,0.634,0.616,0.797
Rb (Ab-780) ,1.02,1.033,0.864,1.098,1.479,1.301,0.989,1.06,0.768,0.869,0.898
CDK2 (Ab-160) ,0.793,1.03,0.815,1.037,0.896,0.994,0.886,0.935,0.858,0.911,0.968
Caveolin-1 (Ab-14) ,0.893,1.05,0.93,0.858,0.738,0.728,0.724,1.063,0.842,1.002,0.977
PKC theta (Ab-676) ,0.883,1.158,1.053,1.077,0.933,0.805,1.389,0.961,1.142,1.093,1.035
14-3-3 zeta (Ab-58)  ,0.924,1.188,1.205,1.079,0.924,0.793,0.939,0.983,1.277,1.209,1.247
ADD1 (Ab-726)  ,0.947,1.144,1.284,0.891,0.86,0.865,0.961,1.049,1.372,1.197,1.053
AMPK1/AMPK2 (Ab-183/172)  ,0.853,0.978,1.046,1.043,1.152,1.214,1.191,0.768,1.03,1.134,0.921
Amyloid beta A4 (Ab-743/668)  ,1.04,1.067,0.951,0.787,0.622,0.76,0.603,0.878,1.151,0.896,1.314
CREB (Ab-142)  ,0.886,1.03,1.118,0.954,0.845,0.86,0.97,0.909,1.135,1.304,1.106
DARPP-32 (Ab-75)  ,0.89,1.08,0.991,1.104,0.88,0.929,1.036,0.959,1.183,1.259,1.138
EGFR (Ab-678)  ,0.924,1.051,1.025,0.862,0.766,0.798,0.861,0.955,1.131,1.16,1.055
EGFR (Ab-693)  ,0.782,0.916,0.915,0.772,0.572,0.645,0.616,0.862,1.052,0.991,0.966
GABA-RB (Ab-434)  ,0.91,0.981,1.107,0.767,0.723,0.744,0.75,0.907,1.132,1.042,0.975
HSP90B (Ab-254)  ,0.916,0.958,1.006,0.912,0.958,1.021,1.084,1.018,0.963,1.047,0.981
IkB-epsilon (Ab-22)  ,0.885,1.077,0.814,0.467,0.355,0.451,0.346,0.699,0.709,0.576,0.847
Keratin 18 (Ab-33)  ,0.945,1.112,1.258,0.843,0.655,0.746,0.667,1.119,1.135,1.084,0.951
Keratin 8 (Ab-73)  ,0.952,0.971,0.985,0.915,0.798,0.815,0.903,1.19,1.129,1.122,1.078
MEF2A (Ab-408)  ,1.087,1.234,0.734,0.895,0.539,0.591,0.605,1.194,0.782,0.939,1.179
Myc (Ab-62)  ,0.881,0.975,0.883,0.851,1.202,0.933,0.981,1.116,0.9,0.816,0.913
Opioid Receptor (Ab-375)  ,1.149,1.182,1.063,1.161,0.985,0.873,0.963,1.218,1.019,0.904,1.076
PKC zeta (Ab-410)  ,0.825,1.067,0.758,1.069,0.976,0.993,0.992,1.059,0.949,1.061,0.981
Shc (Ab-349)  ,0.949,0.793,0.685,0.48,0.391,0.421,0.196,0.746,0.452,0.395,0.72
LKB1 (Phospho-Ser428),0.941,1.194,0.881,1.477,1.421,1.218,1.34,1.012,1.12,1.158,1.231
LKB1 (Phospho-Thr189),0.756,1.102,1.027,1,1.094,1.164,1.008,0.99,1.034,1.137,1.056
MAPKAPK2 (Phospho-Thr222),0.993,1.084,1.061,1.083,1.041,0.923,1.066,0.807,1.024,0.998,0.932
MEK1 (Phospho-Ser298),0.897,0.495,0.321,0.24,0.179,0.182,0.22,0.562,0.604,0.314,0.528
MEK1 (Phospho-Thr286),0.942,0.441,0.537,0.886,0.931,0.865,0.919,0.767,0.738,0.563,0.794
MSK1 (Phospho-Ser360),0.707,1.295,0.83,0.715,0.914,1.129,0.66,0.867,0.851,0.69,0.788
MSK1 (Phospho-Thr581),1.098,1.163,1.083,0.901,0.958,0.908,0.784,1.034,1.094,1.182,0.96
mTOR (Phospho-Ser2481),0.87,1.003,1.002,0.905,0.641,0.69,0.673,1.084,1.163,1.224,1.018
p53 (Phospho-Thr81),0.939,0.761,0.691,1.02,0.813,0.802,0.863,0.862,0.879,0.812,0.864
p63 (Phospho-Ser455),0.835,1.03,1.086,0.963,0.847,0.952,0.883,1.194,0.99,1.219,1.069
PAK2 (Phospho-Ser20),0.834,0.955,1.006,0.82,0.728,0.728,0.723,1.046,1.034,1.156,1.048
PEA-15 (Phospho-Ser104),0.849,0.871,0.829,0.847,0.773,0.728,0.78,1.137,0.912,1.025,1.002
PKC alpha/beta II (Phospho-Thr638),0.732,0.723,0.704,0.688,0.703,0.586,0.612,0.983,0.736,0.805,0.729
PKC delta (Phospho-Thr505),0.93,0.948,0.912,0.847,0.654,0.72,0.756,1.078,1.018,1.152,1.053
PKC delta (Phospho-Tyr313),0.874,1.001,0.84,0.926,0.845,0.829,0.884,1.128,0.924,1.064,1.01
PKC theta (Phospho-Thr538),0.899,1.238,0.844,0.943,0.806,0.782,0.858,1.19,0.918,1.155,1.119
PKD1/PKC mu (Phospho-Ser910),0.906,0.991,0.864,1.04,0.797,0.879,0.995,1.188,0.894,1.069,0.974
PLC beta3 (Phospho-Ser537),0.865,0.966,0.838,0.837,0.724,0.742,0.791,1.089,0.909,1.008,0.96
Ras-GRF1 (Phospho-Ser916),1.002,1.056,0.882,0.864,0.7,0.657,0.74,1.183,1.015,1.002,1.033
MDM4 (Phospho-Ser367),0.981,0.828,1.174,1.107,1.159,1.141,0.813,0.823,1.119,0.854,1.302
MEF2C (Phospho-Ser396),1.015,1.252,0.942,0.882,0.749,0.768,0.762,1.104,1.044,1.182,1.314
MKP-1/2 (Phospho-Ser296/318),0.864,0.991,1.106,1.185,1.269,1.164,1.199,0.942,1.073,1.222,1.093
SREBP-1 (Phospho-Ser439),0.818,1.001,1.153,0.81,0.664,0.697,0.718,0.928,1.184,1.147,1.066
PLCG1 (Phospho-Tyr771),1.01,0.908,0.999,0.824,0.79,0.972,0.74,1.128,1.251,1.191,0.953
LYN (Phospho-Tyr507),0.927,1.082,1.066,1.16,1.216,1.264,1.26,0.965,1.109,1.019,1.02
p130Cas (Phospho-Tyr410),1.171,1.242,1.022,0.967,1.225,1.209,1.313,1.098,1.345,1.145,1.077
PLCG1 (Phospho-Tyr783),0.566,0.715,0.512,0.46,0.327,0.344,0.483,0.951,0.753,0.592,1.268
PLCG2 (Phospho-Tyr753),1.099,1.073,1.002,0.872,0.864,0.891,0.87,1.131,1.133,1.075,0.988
ATF1 (Phospho-Ser63),0.828,1.042,1.046,0.863,0.718,0.74,0.748,1.13,1.09,1.27,1.14
CD19 (Phospho-Tyr531),1.191,1.204,1.108,0.567,0.639,0.656,0.64,0.833,0.936,0.729,1.195
Fyn (Phospho-Tyr530),1.037,1.17,1.07,1,0.996,1.027,1.029,1.029,1.07,1.043,1.092
ATPase (Phospho-Ser16),1.079,0.959,1.024,1.151,1.141,1.23,0.993,1.199,0.989,0.974,1.078
CBL (Phospho-Tyr774),1.103,1.194,1.209,1.154,1.157,1.11,1.171,1.255,1,1.163,1.313
CBL (Phospho-Tyr700),0.708,0.736,0.893,0.838,0.98,1.037,0.977,0.809,0.692,0.941,0.893
FGFR1 (Phospho-Tyr766),1.23,0.85,0.92,0.971,1.04,0.835,0.956,1.393,0.974,1.037,0.956
FGFR1 (Phospho-Tyr654),0.717,0.748,0.336,0.557,0.419,0.394,0.41,0.533,0.455,0.495,0.64
Lamin A/C (Phospho-Ser392),1.122,0.856,0.787,1.121,0.906,0.963,1.305,1.157,0.776,0.906,1.001
MITF (Phospho-Ser73),0.716,0.787,0.905,1.005,1.024,0.919,0.994,1.177,0.679,0.8,0.926
4E-BP1 (Ab-65),1.562,1.906,0.652,0.486,0.449,0.385,0.418,0.551,1.084,0.392,0.71
4E-BP1 (Ab-70),0.859,1.234,1.048,0.795,0.66,0.662,0.766,1.018,1.122,1.097,1.033
Abl1 (Ab-204),0.11,0.273,0.428,0.078,0.101,0.127,0.075,0.392,0.197,0.217,0.633
ACC1 (Ab-79),1.028,1.372,1.005,1.191,1.241,1.121,1.166,1.038,1.325,1.005,1.096
AKT1 (Ab-450),0.925,1.05,1.064,0.89,0.989,0.909,0.867,1.279,1.112,1.112,1.079
AKT1 (Ab-124),0.917,1.025,0.939,0.75,0.62,0.665,0.631,0.982,1.071,1.118,1.061
AMPK beta1 (Ab-182),0.787,0.817,0.538,0.538,0.464,0.44,0.442,0.738,0.69,0.687,0.895
Chk2 (Ab-387),0.916,0.87,0.766,0.567,0.483,0.495,0.482,0.79,0.833,0.829,1.03
Cyclin D1 (Ab-286),1.57,1.899,0.64,0.766,0.789,0.531,0.644,1.509,0.76,0.994,1.388
Cyclin D3 (Ab-283),1.051,0.924,0.938,0.77,0.783,0.715,0.949,1.003,0.892,0.885,0.899
Interferon-alpha/beta receptor alpha chain (Phospho-Tyr466),0.868,0.975,1.087,0.796,0.672,0.665,0.658,1.149,1.085,1.075,1.086
DYN1 (Ab-774),1.025,0.906,0.522,0.343,0.21,0.276,0.231,0.541,0.521,0.43,0.693
E2F1 (Ab-433),0.799,0.772,0.816,0.409,0.363,0.393,0.34,0.889,0.835,0.704,0.876
FAK (Ab-576),0.805,0.914,0.861,0.655,0.68,0.663,0.7,1.13,0.975,0.958,0.973
HDAC5 (Ab-259),0.804,1.04,0.913,1.067,1.076,1.086,1.119,1.028,0.862,0.762,0.793
HSL (Ab-552/563),0.884,0.948,0.854,0.891,0.901,0.801,0.893,1.27,0.849,1.022,0.89
IkB-beta (Ab-19),0.872,0.905,0.879,0.697,0.594,0.611,0.595,1.006,0.919,0.991,0.969
IKK-alpha/beta (Ab-180/181),0.961,0.942,0.814,0.998,1.087,0.972,1.056,1.111,0.89,1.076,1.021
IKK-alpha/beta (Ab-176/177),0.892,0.75,0.576,0.569,0.307,0.441,0.408,0.721,0.563,0.534,0.999
FAS (Ab-291),1.069,1.081,0.96,0.885,0.808,0.843,0.993,1.127,1.105,1.305,1.146
FosB (Ab-27),0.863,1.026,0.949,0.645,0.629,0.678,0.744,0.786,1.113,1.031,1.035
GRK1 (Ab-21),0.884,1.082,1.087,0.732,0.694,0.739,0.812,0.915,1.241,1.086,1.086
HDAC3 (Ab-424),0.967,0.975,0.72,0.532,0.475,0.474,0.443,0.617,0.823,0.769,0.941
HDAC6 (Ab-22),1.065,1.134,0.878,0.581,0.481,0.496,0.465,0.578,0.811,0.7,0.903
HER2 (Ab-686),0.911,1.111,1.113,0.773,0.77,0.771,0.821,0.949,1.301,1.142,1.109
HER3/ErbB3 (Ab-1222),0.793,0.978,0.864,0.591,0.708,0.672,0.868,0.997,1.115,0.972,1.007
HER3/ErbB3 (Ab-1289),0.926,1.067,1.115,0.828,0.723,0.738,0.731,1.042,1.205,1.253,1.126
HER4/ErbB4 (Ab-1284),0.976,1.004,0.916,0.576,0.503,0.514,0.469,0.927,0.912,0.884,1.032
Smad1 (Ab-187),0.812,0.741,0.827,0.539,0.455,0.535,0.531,0.993,1.051,0.986,0.936
Smad2 (Ab-255),0.967,1.01,0.822,0.634,0.633,0.595,0.632,1.01,1.018,0.787,0.947
Smad2 (Ab-250),0.856,0.908,0.904,0.645,0.589,0.598,0.573,1.299,1.331,1.05,1.043
Smad2 (Ab-245),0.793,0.945,0.936,0.79,0.682,0.748,0.722,1.041,0.986,1.024,1.004
Smad2 (Ab-220),0.804,0.776,0.584,0.772,0.587,0.61,0.619,0.856,0.671,0.8,0.795
Smad2/3 (Ab-8),0.92,1.052,0.894,0.585,0.509,0.549,0.479,0.898,0.865,0.853,1.001
Smad3 (Ab-179),0.951,0.861,0.615,0.664,0.596,0.546,0.581,0.829,0.647,0.78,0.87
Smad3 (Ab-204),1.03,1.019,0.781,1.08,1.11,0.994,0.941,1.272,0.909,0.979,0.872
Smad3 (Ab-213),0.887,0.988,0.984,0.802,0.64,0.674,0.654,1.141,0.935,1.109,0.974
Calsenilin/KCNIP3 (Ab-63),0.88,0.871,0.643,0.307,0.209,0.204,0.224,0.653,0.626,0.429,0.712
Epo-R (Ab-368),1.052,1.31,1.12,2.041,2.289,2.092,1.758,0.965,1.117,1.139,1.133
Interferon-alpha/beta receptor alpha chain (Ab-466),0.887,0.996,0.864,0.557,0.529,0.547,0.573,0.761,0.956,0.801,0.907
IL-2RA/CD25 (Ab-268),0.88,1.164,1.184,0.814,0.834,0.894,0.926,0.969,1.405,1.27,1.152
WEE1 (Phospho-Ser53),0.799,1.008,1.203,0.849,0.715,0.764,0.759,0.917,1.174,1.186,1.138
MKK4/SEK1 (Ab-257),0.83,1.115,1.149,0.81,0.808,0.815,0.777,0.997,1.295,1.229,1.193
ATP1A1/Na+K+ ATPase1 (Ab-23),0.616,0.561,0.784,1.049,0.857,0.87,0.752,0.673,1.023,0.815,1.006
CK1-A (Ab-321),0.902,0.992,0.977,0.878,0.861,0.891,0.901,1.121,1.213,1.154,1.123
HSP90B (Ab-226),0.737,0.878,0.873,0.833,0.764,0.902,0.846,0.827,0.962,0.906,0.935
Merlin (Ab-10),1.435,1.773,0.924,1.012,1.052,1.11,0.978,1.934,1.593,1.043,1.132
MAP3K7/TAK1 (Ab-187),0.787,0.867,0.882,0.672,0.608,0.623,0.667,0.979,0.972,0.999,0.968
MAP3K7/TAK1 (Ab-439),0.929,0.875,0.857,1.077,1.105,1.008,0.932,1.098,0.883,1.063,0.943
MAP3K8/COT (Ab-400),0.78,0.699,0.646,0.597,0.554,0.546,0.514,0.86,0.801,0.726,0.808
MYT1 (Ab-83),0.77,0.78,0.653,0.496,0.444,0.45,0.448,0.841,0.736,0.676,0.77
WEE1 (Ab-53),0.835,0.91,0.819,0.732,0.736,0.745,0.697,1.141,0.953,0.912,1.002
EPB41 (Ab-418/660),0.999,0.98,0.875,0.927,0.778,0.755,0.766,1.134,0.957,1.283,0.985
Mnk1 (Ab-385),0.889,0.855,0.795,0.744,0.594,0.657,0.639,0.971,0.784,0.876,0.825
RAD51 (Ab-309),0.863,0.868,0.74,0.936,1,0.736,0.727,1.075,0.782,0.935,0.871
TIF-IA (Ab-649),0.884,0.898,0.772,0.752,0.621,0.666,0.738,1.05,0.838,0.916,0.903
Lamin A (Ab-22),0.88,0.997,0.99,0.815,0.62,0.664,0.693,1.309,0.997,1.096,0.967
p53 (Phospho-Thr18) ,1.06,1.085,1.04,1.102,1.096,1.131,1.192,0.91,0.933,0.948,1.015
p53 (Phospho-Ser33) ,0.964,1.281,1.075,1.089,1.406,1.261,1.124,0.87,1.087,1.014,1.09
p53 (Phospho-Ser37) ,0.885,0.894,0.792,1.265,1.129,1.063,1.619,0.601,0.799,0.878,1.028
p53 (Phospho-Ser46) ,0.869,1.032,0.765,0.461,0.519,0.545,0.483,0.554,0.739,0.526,0.477
p53 (Phospho-Ser315) ,1.1,1.048,0.954,0.709,0.708,0.726,0.804,0.748,1.038,0.697,0.895
Tau (Phospho-Ser356) ,1.005,0.993,1.001,0.973,1.062,1.005,0.912,0.645,1.008,0.846,0.942
Tau (Phospho-Ser396) ,0.873,0.999,0.834,1.338,1.613,1.443,1.664,0.833,1.042,0.901,0.95
Tau (Phospho-Ser235) ,0.853,0.895,0.747,0.466,0.471,0.488,0.434,0.653,0.739,0.587,0.734
Tau (Phospho-Thr181) ,0.809,1.049,0.902,1.214,1.298,1.302,1.363,0.793,0.956,1.087,1.236
Tau (Phospho-Thr205) ,0.855,0.819,1.029,1.776,2.038,1.876,2.026,0.992,1.149,0.979,1.038
Tau (Phospho-Ser214) ,1.03,1.125,1.005,1.517,1.731,1.828,1.551,0.839,0.876,0.83,0.921
Tau (Phospho-Thr231) ,0.968,1.072,1.132,1.165,1.459,1.438,1.453,0.945,0.937,1.149,1.274
Tau (Phospho-Ser262) ,0.929,0.954,0.883,1.286,1.172,1.13,1.278,0.951,0.878,0.885,0.928
Tau (Phospho-Ser404) ,0.999,0.902,0.879,1.272,1.858,1.809,2.182,1.265,0.76,0.936,1.065
FKHR (Phospho-Ser256) ,0.967,0.803,0.833,0.905,0.845,0.758,0.907,0.906,0.682,0.79,0.824
Catenin beta (Phospho-Thr41/Ser45) ,1.047,1.124,0.994,1.119,1.228,1.1,1.024,0.941,0.829,0.842,0.875
BRCA1 (Phospho-Ser1524) ,0.978,1.03,0.874,0.945,1.041,0.866,0.919,0.8,0.761,0.771,0.857
CDC25C (Phospho-Ser216) ,1.378,1.076,1.33,1.663,1.721,1.942,1.677,1.345,0.993,1.191,1.206
Androgen Receptor (Phospho-Ser213) ,1.028,1.08,0.912,1.174,0.763,1.131,0.924,1.1,0.801,0.94,0.932
MEK1 (Phospho-Thr291) ,0.747,0.619,1.039,1.08,0.967,1.134,0.736,0.715,0.63,0.661,0.618
NMDAR1 (Phospho-Ser897) ,0.985,0.939,0.955,1.104,1.167,1.098,1.592,0.739,0.999,1.218,1.101
PKC delta (Phospho-Ser645) ,0.932,1.036,1.024,1.025,0.934,0.904,0.94,0.985,1.102,1.182,1.038
PKC theta (Phospho-Ser676) ,0.966,0.909,0.989,1.58,1.605,1.483,1.796,0.702,1.006,0.917,1.022
14-3-3 zeta (Phospho-Ser58),1.008,1.094,1.039,1.024,1.208,1.022,1.372,0.787,0.984,0.893,1.044
AMPK1/AMPK2 (Phospho-Thr183/172),1.022,0.849,0.992,0.987,0.977,1.057,1.003,0.793,1.047,0.887,0.976
Amyloid beta A4 (Phospho-Thr743/668),1.033,1.168,0.873,0.805,0.838,0.873,0.856,0.791,0.961,0.831,0.946
CREB (Phospho-Ser142),0.905,1.241,0.961,1.033,0.875,1.003,1.244,0.805,1.018,0.928,0.949
DARPP-32 (Phospho-Thr75),0.875,0.888,0.812,0.827,0.785,0.741,1.02,0.73,0.826,0.883,0.987
EGFR (Phospho-Thr678),0.947,0.974,0.994,1.266,1.199,1.128,1.351,0.85,0.887,0.96,1.18
Ephrin B2 (Phospho-Tyr330),1,0.87,0.904,0.911,0.939,0.904,1.043,0.734,0.878,0.746,0.909
GABA-RB (Phospho-Ser434),1.111,0.981,0.923,1.05,1.04,1.007,1.158,1.046,0.924,0.939,1.078
HSP90B (Phospho-Ser254),0.958,1.011,0.961,0.95,0.816,0.851,0.929,0.866,0.905,0.81,0.913
IkB-beta (Phospho-Ser23),0.904,0.977,0.929,1.016,1.053,0.943,1.187,0.801,0.701,0.8,0.937
IkB-epsilon (Phospho-Ser22),0.956,0.772,0.853,0.902,0.727,0.808,0.838,0.826,0.855,0.748,0.891
Keratin 18 (Phospho-Ser33),1.016,1.058,0.93,1.088,0.94,0.981,1.067,0.915,0.785,0.905,0.948
Keratin 8 (Phospho-Ser73),0.981,1.052,0.97,1.344,1.274,1.341,1.342,0.977,0.876,1.033,1.078
MEF2A (Phospho-Ser408),1.114,1.046,0.939,1.087,1.21,1.206,1.347,0.975,0.848,0.853,0.887
Myc (Phospho-Ser62),1.06,1.086,0.99,1.344,1.33,1.315,1.409,0.985,0.859,1.071,1.051
Chk1 (Ab-280) ,0.962,1.22,1.332,1.012,0.797,0.833,0.797,1.007,1.427,1.248,1.255
Chk1 (Ab-317) ,0.865,0.889,0.823,0.542,0.717,0.647,0.801,0.676,0.782,0.685,0.828
Src (Ab-418) ,1.065,0.996,0.759,0.396,0.353,0.399,0.413,0.326,0.66,0.605,0.885
MKK3/MAP2K3 (Ab-189) ,0.946,0.888,0.966,0.85,0.797,0.801,0.904,0.824,0.91,0.902,1.027
Chk2 (Ab-516) ,0.978,0.993,0.984,0.846,0.8,0.979,1.044,0.735,0.821,0.971,1.147
TYK2 (Ab-1054),0.895,0.704,0.881,0.567,0.574,0.582,0.616,0.805,0.967,0.913,0.934
JAK1 (Ab-1022) ,0.975,0.986,0.887,0.776,0.718,0.734,0.888,0.758,0.971,1.096,1.039
JAK2 (Ab-221) ,0.917,0.912,0.962,0.942,1.074,0.988,1.207,0.954,1.093,1.064,1.045
JAK2 (Ab-1007) ,0.81,0.784,0.749,0.44,0.405,0.423,0.455,0.716,0.769,0.627,0.803
IkB-alpha (Ab-32/36) ,0.892,0.975,0.975,0.977,0.849,0.888,0.954,1.03,1.029,1.153,1.167
ASK1 (Ab-83) ,0.882,0.942,0.988,0.793,0.747,0.758,0.804,1.009,1.122,1.019,1.088
LIMK1 (Ab-508) ,1.023,0.944,0.931,1.03,1.087,0.947,0.934,0.737,0.824,0.788,0.791
MKK4/SEK1 (Ab-261) ,0.87,0.949,0.668,0.969,1.072,1.078,1.267,0.652,0.758,0.677,0.964
ASK1 (Ab-966) ,0.955,0.997,0.82,0.786,0.648,0.742,0.793,0.916,0.877,1.146,1.244
Histone H3.1 (Ab-10) ,0.989,1.008,0.847,0.714,0.72,0.736,0.811,0.853,0.763,0.813,0.872
FKHR (Ab-256) ,1.071,1.014,1.02,1.073,1.142,1.134,1.004,1.019,0.982,1.033,1.015
BRCA1 (Ab-1524) ,0.982,0.968,0.737,0.68,0.586,0.61,0.602,0.758,0.682,0.717,0.881
HDAC4 (Ab-632) ,0.966,0.934,0.939,0.675,0.61,0.658,0.654,1.164,1.04,1.043,0.967
HDAC5 (Ab-498) ,1.029,1.157,0.93,1.176,1.095,1.072,1.076,1.075,0.925,1.157,1.143
SHP-2 (Ab-542)  ,0.859,1.014,1.119,0.878,0.964,1.03,1.044,1.02,1.114,0.999,0.934
SHP-2 (Ab-580)  ,0.882,1.003,0.929,1.86,1.746,1.695,2.64,0.818,0.999,1.284,1.153
Synaptotagmin (Ab-309)  ,0.806,0.966,1.158,0.79,0.807,0.858,0.943,0.989,1.259,0.955,0.925
Synaptotagmin (Ab-202)  ,0.819,1.028,1.022,1.064,1,1.01,1.062,0.861,0.913,1.304,1.225
Trk B (Ab-515)  ,0.925,0.992,0.757,0.877,0.916,0.765,0.937,0.708,0.749,0.608,0.771
Tyrosine Hydroxylase (Ab-19)  ,0.935,0.973,0.817,0.584,0.494,0.543,0.585,0.836,0.972,0.816,0.953
Tyrosine Hydroxylase (Ab-31)  ,0.965,1.295,0.979,1.084,0.909,0.955,1.233,0.944,0.987,1.085,1.281
Tyrosine Hydroxylase (Ab-40)  ,0.995,1.075,0.894,0.809,0.709,0.767,0.91,0.899,1.198,1.008,1.163
LIMK1/2 (Ab-508/505)  ,0.386,0.524,1.149,0.914,0.91,0.849,1.051,0.836,1.178,0.67,0.935
BTK (Ab-223)  ,0.952,1.035,1.029,1.082,0.984,1.065,1.108,0.924,0.964,0.982,1.076
MAP3K8/COT (Ab-290)  ,0.934,0.953,0.939,1.277,1.094,1.041,1.181,0.921,0.892,0.917,1.047
CrkII (Ab-221)  ,0.929,0.893,0.57,0.713,0.71,0.621,0.705,0.725,0.51,0.694,0.892
eEF2K (Ab-366)  ,0.848,1.008,0.822,0.588,0.528,0.634,0.52,0.822,0.937,0.882,0.971
Filamin A (Ab-2152)  ,0.967,1.372,0.811,0.795,0.746,0.73,0.648,1.606,1.002,1.044,1.62
MKK6/MAP2K6 (Phospho-Ser207),0.722,0.479,0.539,0.695,0.779,0.651,0.673,0.658,0.731,0.731,0.664
HDAC2 (Phospho-Ser394),0.989,1.024,0.844,0.679,0.498,0.583,0.513,1.044,0.849,0.863,0.768
FAK (Phospho-Tyr397),1.013,1.017,0.985,0.889,0.904,0.856,0.918,1.076,0.796,0.973,0.995
EGFR (Phospho-Thr693),0.909,1.027,0.94,1.037,0.913,1.028,1.08,1.095,0.831,1.059,1.079
GSK3 alpha/beta (Phospho-Tyr216/279),0.846,0.989,0.657,1.696,1.482,1.54,1.756,1.125,0.851,0.915,0.975
14-3-3 theta/tau (Phospho-Ser232),0.933,1.167,0.77,1.753,1.201,1.223,1.615,0.842,0.908,0.985,1.146
14-3-3 zeta/delta (Phospho-Thr232),0.84,0.678,0.85,0.81,0.916,1.032,0.917,0.835,1.111,0.793,0.746
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 (PFKFB2) (Phospho-Ser483) ",0.921,1.082,1.143,0.781,0.762,0.834,0.772,1.062,1.41,1.257,1.165
Actin Pan (a/b/g) (Phospho-Tyr55/53),1.024,1.05,1.205,1.218,1.235,1.127,1.237,1.042,1.242,1.233,0.996
A-RAF (Phospho-Tyr301/302),0.903,0.958,1.029,0.934,0.809,0.906,0.928,0.968,1.082,1.072,1.089
ATRIP (Phospho-Ser68/72),0.963,1.014,0.959,1,1.124,1.252,1.361,0.845,1.049,1.154,0.928
BCL-2 (Phospho-Thr69),0.964,1.046,0.882,1.114,1.043,1.18,1.219,1.008,1.089,1.114,1.285
BCL-XL (Phospho-Thr47),0.908,0.959,1.073,0.677,0.724,0.747,0.71,1.152,1.294,1.121,1.059
B-RAF (Phospho-Thr598),0.872,0.964,0.925,0.788,0.733,0.772,0.873,0.897,1.146,1.012,1.144
B-RAF (Phospho-Ser601),0.952,0.985,0.861,0.985,0.821,0.886,0.968,0.928,0.976,1.132,1.148
Chk2 (Phospho-Thr383),0.835,0.677,0.831,0.908,0.781,0.85,0.804,0.947,1.008,0.861,0.876
Gab1 (Phospho-Tyr659),0.945,0.946,0.91,0.865,0.737,0.947,0.793,1.077,0.991,1.008,1.123
HDAC1 (Phospho-Ser421),0.628,0.978,0.568,0.461,0.433,0.501,0.431,0.552,0.622,0.43,0.655
p38 MAPK (Phospho-Tyr322),0.899,0.922,0.761,0.813,0.724,0.788,0.737,1.114,0.804,1.179,1.031
PKC alpha (Phospho-Tyr657),0.78,0.75,0.626,0.658,0.684,0.873,0.936,0.913,0.732,0.802,0.751
PKC delta (Phospho-Tyr52),0.794,0.907,0.784,1.083,0.964,0.863,0.927,0.974,0.907,0.862,0.815
PKC epsilon (Phospho-Ser729),0.912,0.909,0.736,1.437,1.231,1.374,1.37,0.934,0.738,0.925,0.822
PKC pan activation site (Phospho),0.818,0.942,0.892,1.045,0.942,1.126,0.943,1.034,0.749,0.977,0.837
