,control,Quiescent 1h,Quiescent 6h,Quiescent 24h,Quiescent 96h,Rapamycin 1h,Rapamycin 6h,Rapamycin 24h,Rapamycin 96h,IGF 0.5h,IGF 1h,IGF 3h,IGF 6h,IGF 24h,Apoptosis 0.5h,Apoptosis 1h,Apoptosis 3h,Apoptosis 6h,Senescent 1h,Senescent 6h,Senescent 24h,Senescent 96h
c-Abl (Phospho-Tyr412),883,738,1507.5,1043,1257.5,835.5,1094.5,759,755,858.5,918.5,1459.5,843.5,1234,1335.5,951,592,710,1260,1073.5,1055,647
LIMK1 (Phospho-Thr508),985,1141.5,1831.5,1105,1527.5,978.5,1444,980,939,965.5,1212.5,2123,1429,1901.5,1943.5,1246.5,719.5,937.5,1712.5,1450.5,1554,823
IKK-alpha (Phospho-Thr23),1599,1500.5,2541.5,2173.5,1794.5,1517.5,1887,1856,1500.5,1279,1888,2784,2216,2453.5,2406,1974.5,1398.5,1693,2050.5,2048,2285.5,1313
Rb (Phospho-Ser795),1712,1787,2245.5,1861.5,2050,1477,1814.5,1723,1470,1367.5,1650,2624.5,2163,2335,2288.5,1906,1331.5,1613.5,2020.5,2033,2074,1417.5
Rb (Phospho-Ser807),826,834,1360,1030,1071,842,988,758.5,759.5,752,893,1609,1264.5,1309,1354.5,890,467.5,732.5,1155.5,2367.5,1144,641.5
Rb (Phospho-Ser780),1057.5,1226,1785.5,1363.5,1318,1917.5,1368,933.5,852.5,908.5,1196,2209.5,1473.5,1710.5,1693.5,1183.5,675.5,1257.5,1490,1678.5,1486.5,765
CDK2 (Phospho-Thr160),1238.5,1184,1592.5,1364,1359,2190.5,1470.5,1084,961.5,1024,1313,2303,1465.5,1961.5,1616,1180.5,809.5,961,1598,1515.5,1622.5,919
FKHR (Phospho-Ser319),1043,1275,1675.5,1421,1383.5,1086.5,1502.5,1051,937,1029.5,1357,2286.5,1593.5,2047,1687.5,1219.5,852,1016.5,1557,1576.5,1604.5,816
AFX/FOXO4 (Phospho-Ser197),930,1069.5,1536.5,1201,1137,940,1216.5,914,959,951,1038.5,1903,1158.5,1754,1528,1111.5,868,995.5,1444,1308,1311.5,741
CDC25A (Phospho-Ser75),1021.5,1164,1546.5,1400,1402.5,918,1199.5,941.5,908.5,970,1117.5,1835.5,1493,1875,1657,1132,821,947.5,1457.5,1392,1681.5,869
Cofilin (Phospho-Ser3),692,722,1523,977,1060,742.5,919.5,724,741.5,677.5,778,1633.5,1074.5,1386.5,1310.5,957.5,464,674,1132,1037,1186,701
Chk1 (Phospho-Ser280),945,1047.5,1662,1317,1405.5,955,1160.5,979.5,945,950.5,978.5,1834,1183.5,1897.5,1489.5,1110.5,679.5,895,1364,1375,1241.5,785
Chk1 (Phospho-Ser317),1035.5,1134,1942.5,1417.5,1678.5,1186.5,1577,1011.5,869,1007,1155.5,2274.5,1492,2320,1693,1133,747.5,707.5,1614.5,1372,1719,915
VAV1 (Phospho-Tyr174),1091,1051.5,1691,1360,1545.5,1047,1253.5,1044,1118.5,1126.5,962,1576.5,1506,1548,1528.5,1267,699,868,1649,1363,1129,1313
IRS-1 (Phospho-Ser312),1704,1757.5,2369,1635.5,1764,1174.5,1545.5,1482,1260.5,1128,1401.5,2254.5,1838,1825,2012,1693.5,1334.5,1374,1764.5,1679,1669,1335
Opioid Receptor (Phospho-Ser375),1033.5,1566.5,1807,1457,1780.5,992.5,1226.5,974,990.5,885,976.5,1678,863,1517.5,1415,1135,618,1131,1464.5,1266,1278,820
PKC zeta (Phospho-Thr410),1263.5,1276.5,1730.5,1532.5,1619,1346,1517.5,1180.5,1067.5,1092,1472,2530.5,2117,2040,2074,1258,1097.5,1333.5,1676.5,1632,1842.5,1090
Shc (Phospho-Tyr349),1582.5,1444,1929.5,1553,1905,1052,2025.5,1082,1249.5,1227,1320,3013.5,2251,1741.5,2051.5,1487,790,1402,1662,1795,1692.5,1101.5
Shc (Phospho-Tyr427),858,1074.5,1411,1057,1360,950.5,1492.5,833,803,746,1198,2239.5,1533,1606.5,1364,1106,651.5,695.5,1462,1188.5,1151.5,742
SHP-1 (Phospho-Tyr536),922,1180,1838.5,1497.5,1656.5,994.5,1419.5,951,958.5,963,1106,1974,1710.5,1909,1657,1171.5,882,1069,1606,1367,1583,788.5
SHP-2 (Phospho-Tyr542),1070,964,1795.5,1374,1625.5,1036,1363.5,944.5,940,979,1210.5,1546,1110,1403,1547,1070,718.5,881,1538,1343,1333.5,741
SHP-2 (Phospho-Tyr580),617,820.5,1333,1200,1115.5,655.5,1082,711,731.5,813.5,850,1401.5,1380.5,1479,1607,953,462,611,1394,1173.5,1086.5,658.5
Smad3 (Phospho-Ser425),960,979,1633,1137.5,1361,898.5,1184,758,747.5,788.5,932.5,1661.5,1149.5,1476,1686.5,947.5,587,614.5,1324,1113.5,1196.5,611
Synaptotagmin (Phospho-Ser309),949.5,1066.5,1716.5,1239,1277.5,911,1310,805.5,738.5,792.5,1053.5,2159,1509.5,1719,1590.5,1085,597.5,808,1419.5,1234.5,1437,673.5
Synaptotagmin (Phospho-Thr202),809.5,876.5,1391.5,934.5,1140.5,716.5,1177.5,600,575.5,761.5,888,1939.5,1100,1507,1224.5,787.5,420.5,573.5,1283,1171.5,1065.5,503
Trk A (Phospho-Tyr791),1001,1196,1652,1284,1300.5,1005,1345,849,741,955,1187,2419,1725.5,1988,1929.5,1349,1026.5,1047.5,1525.5,1882,1782.5,711.5
Trk B (Phospho-Tyr515),2384.5,2651.5,3212.5,3188,2791,2233.5,2373,1849,1705.5,1548,1855,3380,2248.5,3308.5,2316.5,2049,1284.5,2051.5,2697.5,2810,2722,1600.5
Tyrosine Hydroxylase (Phospho-Ser19),1230.5,1377,2055,1489.5,1447,1106.5,1483,1020.5,1019,1113,1238.5,2384,1788,2213.5,1932,1113.5,894.5,1078.5,1667.5,1594.5,1827,943
Tyrosine Hydroxylase (Phospho-Ser31),883,1052.5,1600,1118.5,1190,820.5,1186.5,709.5,713.5,870.5,1034.5,2119,1405.5,1744,1577,1046.5,660,768.5,1355.5,1107,1575,629.5
Tyrosine Hydroxylase (Phospho-Ser40),1156.5,1228,1806,1376,1397,1052.5,1308.5,987.5,1078,1148.5,1146,2140.5,1509.5,2134,1789.5,1243,704.5,1026.5,1516,1334.5,1622,817
BTK (Phospho-Tyr223),1924,1690,2627,2331,1607,1324.5,1172.5,1165.5,1048.5,1030,1270.5,2366,2079.5,3011,1772.5,1511,900,1678,1937,1518.5,1718.5,1173.5
MAP3K8/COT (Phospho-Thr290),1050.5,1342,1891.5,1602.5,1416.5,1466,1305.5,887.5,820,972,1071.5,2132,1509,2114,1859.5,1266.5,724,934,1487,1351.5,1601,763
CrkII (Phospho-Tyr221),1305,749,1403,1040,1488.5,4195,1446,778,1319,1173,1267.5,2271.5,1127,1315.5,1942.5,982.5,690,1223,1299.5,1125,1508.5,843.5
CrkL (Phospho-Tyr207),1357.5,1212,1830.5,1508,1368.5,958,1238,981,879,901,1052.5,1956.5,1387,1797,1690.5,1325,757,1117,1508,1405,1629,1019
HDAC8 (Ab-39),1537.5,1697.5,2030,1667.5,1821.5,1458,1741,1300.5,1305.5,1314.5,1579,2439,1589.5,2049,1811,1524.5,1132,1213.5,1890.5,1730,1804.5,1174
HSP27 (Ab-15),871,799,1337.5,898.5,1107,701.5,1180,614,593.5,680,918.5,1895.5,983,1257.5,1157.5,856.5,500,601,1132.5,1051.5,960.5,528
CDC25C (Ab-216),17336,25819,31554,22605.5,19854,12450,15178.5,10217.5,11770,7041,8682,21921,11786.5,21339.5,16970,17346,5984,15211,18700.5,17974,15838.5,11503.5
Chk1 (Ab-345),1315.5,1317,2303,1539,1787,1215,1603.5,1036.5,956,1115.5,1317,2355.5,1288,1862,1557,1174.5,841.5,1064,1701.5,1526,1515,939.5
ATM (Ab-1981),1350,1837,2179.5,1760,1825,1119.5,1506.5,901.5,877.5,945.5,1252.5,2482,1377.5,1907,1549.5,1244.5,694,924,1487,1387,1383.5,749.5
FAK (Ab-925),1140,1198.5,1860,1326.5,1627,1077.5,1408,961,860,947.5,1186.5,2177.5,1158.5,1854,1528.5,1103.5,627,848.5,1564,1405.5,1317.5,777.5
p21Cip1 (Ab-145),1048.5,1074,1588.5,1131,1573.5,965.5,1308,771,715,882,1075.5,2194.5,1202.5,1712.5,1456.5,937,547.5,723.5,1432,1242.5,1256.5,665.5
p27Kip1 (Ab-10),708,695.5,1041.5,790,1058.5,663,804,533,511,507,656,1221,802,948.5,1082.5,653,410,524.5,937.5,786,832,475
p27Kip1 (Ab-187),1097.5,1176.5,1986.5,1288.5,1484.5,954,1531,820.5,796,934,1229.5,2553.5,1386.5,1813,1703,1117.5,659,810,1590.5,1399,1571,742
AKT2 (Ab-474),1085,1144.5,1882.5,1243.5,1406.5,949,1591.5,837.5,731,979,1190,2555.5,1458.5,1934.5,1528.5,1015.5,603,801,1534.5,1289,1372.5,686
c-Abl (Ab-412),1671.5,1769.5,2429.5,1876.5,2430.5,1562,1762,1256.5,1155.5,1312,1645.5,2842.5,1719,2526.5,1841,1340.5,932,1276,1997,1726.5,1897,1005.5
IKK-alpha (Ab-23),1784.5,2144,2745,2245.5,1928,1663,2125.5,1476.5,1389,1365,1660,2967.5,1831,3068.5,1984,1808,1061.5,1442,2354.5,2085,2141.5,1300.5
HDAC2 (Ab-394),1817.5,2206,3414,1836.5,1865,1422,1991,1640,1439,1470,1712,2700,2062.5,2967,2513,2055,1612,1718.5,2419,2380.5,1913,1638.5
FKHR (Ab-319),1194.5,1359.5,2100,1506.5,1589.5,1099,1551,986,919,1069,1221.5,2346.5,1466.5,2224.5,1636.5,1237,738,927.5,1691.5,1479.5,1671.5,844.5
AFX/FOXO4 (Ab-197),1010.5,1130.5,1828.5,1287,1469,1026,1401,873.5,870.5,1011.5,1110.5,2060,1310,1951.5,1654,1174.5,790.5,845.5,1591,1400.5,1558,832.5
CDC25A (Ab-75),1166,1263,1885.5,1503.5,1494,2028.5,1440,1056,1122.5,1131.5,1224.5,2360.5,1394.5,2168,1689.5,1205,784.5,1043,1646,1511,1652,948.5
Cofilin (Ab-3),1164,1539,2704,2315.5,2286,2486.5,1242,729,686.5,900.5,876.5,1974,1075,1813,1351,1002.5,523.5,695.5,1391,1083,1184,577.5
VAV1 (Ab-174),1119.5,1314.5,2137,1679.5,1735.5,1888,1467.5,1026,971,1055.5,1048,1842,1163.5,1846.5,1603.5,1280.5,738.5,929,1702,1525.5,1438,858
IRS-1 (Ab-312),1304,1209,2083.5,1501,2101,1086,1674,1173,1046,1031,1093,2094,1291,2170,1744,1428,698,1089.5,1751.5,1611,1543,927
Trk B (Phospho-Tyr705),1251,1243.5,2060,1978.5,1884.5,1109.5,1701.5,1029.5,1248,1186.5,1498,2965,1933,2082,1818,1313.5,1091.5,1332,1601.5,1853.5,1956,840.5
Cyclin E1 (Phospho-Thr395),1439.5,1490.5,2368.5,1907.5,1858.5,1249.5,1820.5,877,919,1041,1327.5,2718,1644,2161.5,1771,1201,773,992,1785,1650,1599.5,817
KSR (Phospho-Ser392),1120.5,1374,2223.5,1429.5,1602,1190,1701,900,832,940.5,1200.5,2889.5,2030,2019.5,1944.5,988,802.5,1102,1729.5,1383.5,1929.5,874
PLC beta3 (Phospho-Ser1105),1274,1333.5,2131,1251.5,1543,1188.5,1361.5,959.5,913.5,958.5,1418.5,2796.5,1592.5,2120.5,1906.5,1337.5,776,811,1660.5,1559,1846,882.5
Pyk2 (Phospho-Tyr580),1668,1835,2948.5,2015,1743,1448.5,2239,1279,1276,1262,1908.5,3312.5,2349,2575.5,2361.5,1750,1112,1527,2152,2083.5,2331,1045.5
STAT5B (Phospho-Ser731),940,912.5,1501.5,1034,1352.5,780,1162.5,699.5,675,797.5,1042,1619,1084.5,1609.5,1211.5,849.5,518.5,688.5,1275.5,1141.5,1403,588
SYK (Phospho-Tyr348),1279,1359,2390,1374,3423,1025.5,1618,1047.5,907,1141.5,1178.5,2583,1989,2073.5,1612,1205,812.5,919.5,1742,1655.5,2060.5,877.5
P70S6K (Phospho-Thr421),874.5,943,1519.5,1105,1791,892.5,1202,780,757,852,1066.5,2196,1441,1471.5,1376,900.5,591.5,711,1286.5,1137.5,1395,641.5
CaMK2 alpha/beta/delta (Phospho-Thr305),1523,2026.5,2617.5,1867,2008,1297.5,1977,1030,987.5,1025,1542,3394,2261.5,2406.5,2164.5,1572.5,918,1717.5,1865,1922.5,2355,977.5
MAPKAPK2 (Phospho-Thr334),1457.5,1204.5,2578.5,2459.5,1554.5,1345,1476.5,1337.5,1215,1040,1404.5,3805.5,1749.5,2489.5,2214,1846,980.5,1649.5,1817.5,2150.5,2348,1275
NFkB-p105/p50 (Phospho-Ser927),1165.5,1110,1982.5,1333,1652,1001.5,1581.5,773,881.5,997,1270,2522,1743.5,2112.5,1747.5,1205,744.5,1060,1697,1541.5,1669.5,783.5
Smad1 (Phospho-Ser465),1134,1148.5,1804,1296.5,1486,1005,1422.5,835,921.5,978,1296,2277.5,1607,2190.5,1868,1206,777,1071,1706,1370,1835,742.5
Smad2 (Phospho-Ser467),1209.5,1111,1520.5,1387.5,1519.5,1029.5,1421,989.5,962,1113.5,1066.5,2157,1576.5,1977.5,1892.5,1156.5,841.5,1025.5,1303.5,1528.5,1945,770
ACC1 (Phospho-Ser80),937,1205.5,1931,2146.5,1231.5,981.5,1782,824,809.5,966.5,1220.5,2849,1994.5,2069,1878.5,1161.5,815,955.5,1610,1942,3695,790
Caspase 6 (Phospho-Ser257),983,1187,1739.5,1234,1226,1038.5,1337,741.5,619,845,999.5,2117,1644.5,1728.5,1564.5,1071,558.5,775,1473.5,2065,1260.5,687
Caspase 8 (Phospho-Ser347),1323,1460.5,1612,1268,1692,1677.5,1494,891,920,983,1208.5,2257,1512,1947,1290.5,971.5,767,1038.5,1254.5,1282,1316.5,722.5
Caspase 9 (Phospho-Thr125),1344,1564.5,2141.5,1726,1426,2441.5,1840,1212,836.5,1121,1215,2860,2048.5,2845,2447.5,1795.5,1179.5,1221,2008,1785,2421,1402.5
CDC25B (Phospho-Ser323),943,943,1387.5,1059,1247.5,1222,1084,676,641.5,876,845,1807,1080.5,1675.5,1270.5,951,489,693,1227.5,1044.5,1137,544.5
c-PLA2 (Phospho-Ser505),1041.5,1072,2174.5,1737.5,1425,1152,1131,796,742.5,1053.5,1021.5,1946.5,1417.5,2157,1187.5,903.5,562,945.5,1280,1430,1671.5,616.5
PKD1/PKC mu (Phospho-Ser205),1362.5,1268.5,1801,1124.5,1592.5,1017,1256.5,1057,1091.5,1010.5,1384.5,2113.5,1322,1984.5,1930.5,1007,837.5,886,1710.5,1613.5,1709,783
PKD1/PKC mu (Phospho-Tyr463),1519,1339.5,2100.5,1389.5,1868.5,1180.5,1506.5,1092,1027,1063,1327,2714.5,1989,1949,1539.5,1242,792.5,1214,1504,1504.5,1355,776.5
PKD2 (Phospho-Ser876),1452,1327.5,2077.5,1523.5,1688,1231,1779,1113.5,941,1057.5,1372,2705.5,1487,2095,1559,1606,753.5,1064.5,1731.5,1479.5,1675,814
Rb (Phospho-Ser811),1046.5,915,1695,1149,1435.5,844,1344.5,720.5,684.5,890.5,981,1943.5,1408,1775.5,1305.5,963.5,565.5,839.5,1232,1124.5,1204.5,617.5
Rb (Phospho-Thr821),917.5,963.5,1580,1044.5,1232,806.5,1177,641.5,652.5,861,1168,2142.5,1547.5,1436.5,1026,826,610,788,1232,1257.5,1270.5,619
AKT1 (Phospho-Tyr326),1623.5,1416.5,2256.5,1579,2089.5,1652.5,1884.5,1697,1578,1234.5,1798,2414,2079,2411.5,1641.5,1338,1216.5,1697.5,1996,1604,5191.5,1187
BAD (Phospho-Ser91/128),1425,1508,2459.5,1746,2466,1307,1896.5,1184.5,998,1279.5,1460.5,2695.5,2181,2002.5,2082.5,1558.5,934.5,1260.5,1992.5,1909.5,7206.5,1061
BAD (Phospho-Ser134),1001.5,1068,1718.5,1170.5,2388,971.5,1315.5,691,675,854.5,1007,2375,1398.5,1830.5,1484,915,543.5,731.5,1437,1216.5,3482,621.5
Calmodulin (Phospho-Thr79/Ser81),1056.5,1263.5,1689,1172,1453,931.5,1470.5,803,808,812.5,1234.5,2420.5,1672,1822.5,1535,1034.5,736,972,1322.5,1395.5,1918,805
CaMK1-alpha (Phospho-Thr177),1012,1059.5,1463,1190,1405.5,937,1350.5,883,785.5,1004,1260.5,1951.5,1507,1745,1171,873.5,687.5,844.5,1264,1254.5,1402,694
CaMK4 (Phospho-Thr196/200),1046,992.5,2028.5,1420.5,1513.5,1062.5,1313.5,894.5,803.5,1000.5,1166,2122,1605,1992.5,1408,916.5,673,860.5,1609.5,1677.5,1567.5,743
Caspase 9 (Phospho-Tyr153),2055,2609,3178,2585.5,2658,2286,2096.5,1757.5,1329,1696.5,2038.5,3989,2065.5,3206.5,1438,1523,1423.5,2092.5,2563.5,2533.5,2913,873
Caspase 9 (Phospho-Ser144),1250.5,969.5,2191,1444,1680,1062.5,1375,996,949.5,927,1353,2117.5,1820,1888,1508,921.5,759,1082,1274.5,1555.5,3808.5,816.5
Caspase 9 (Phospho-Ser196),3975,6889.5,7333.5,6146,4638.5,4844,4091,4500.5,4295,3802,3834,6264,4299.5,4646,2246,3702,4289.5,3192,3982,3801.5,9078,3396.5
Caspase 3 (Phospho-Ser150),1346.5,1299,2225.5,1432.5,1349,1511.5,1607,768.5,954,929,1155.5,2505.5,1781,2283,1808.5,1219,800.5,1001.5,1617,4386,2078.5,892
Catalase (Phospho-Tyr385),1873.5,2042,2674.5,2075.5,2384.5,1873.5,2026,1882,1996,1603,1848,2822,1970.5,2933.5,2095,1739.5,1246,1583.5,2277,3969.5,2121.5,1481.5
Catenin beta (Phospho-Tyr654),1237,1314.5,1692,1541.5,1601,1252.5,1414,929.5,709.5,719.5,1044.5,2258,1678,2262,1667,1142.5,779,1015,1717.5,1319,1616.5,768.5
CD227/mucin 1 (Phospho-Tyr1243),1391,1318,2284.5,1901,1994.5,1607.5,1565.5,1163.5,1105.5,1204.5,1296.5,2294,1579.5,2064,1735,1238,900.5,1052.5,1713.5,1579,1556.5,956
CD28 (Phospho-Tyr218),1293.5,1059,1723,1078.5,1541,934.5,1281,772,761,881.5,907.5,1897,1419.5,1765.5,1665,1104.5,558.5,843,1522.5,1212.5,1305.5,665
Interferon-gamma receptor alpha chain precursor (Phospho-Tyr457),2016,2005,3056,2738,2789.5,1891.5,1865.5,1633,1619,1471.5,1790,2739.5,1745.5,2394,2891,1703.5,1425,1674.5,2069,1953.5,2135,1307
IL-2RA/CD25 (Phospho-Ser268),1144,1267.5,1804.5,1630.5,1655.5,1082.5,1654,773,749,880.5,1182,2553.5,1827,1874.5,1642,1052,768.5,986.5,1349.5,1504.5,1741.5,768.5
RAD51 (Phospho-Tyr315),1121,1157.5,1734.5,1329,1589.5,1056,1531,861,838,971,1204.5,2595.5,1353,1791.5,1311.5,1315,742.5,876.5,1415.5,1231.5,1420,742.5
RAD52 (Phospho-Tyr104),2270,2319,3595.5,2856,2755.5,1881,2359.5,1614,1750.5,1534,2035.5,3467,2068.5,3034,2221,1734.5,1287.5,1664,2300,2178.5,2403,1403
MKK4/SEK1 (Phospho-Ser257),949,1059,1768.5,1181,1373,893,1397,738,711,833.5,1078.5,2354,1305,1717,1360.5,1013.5,579,722,1389,1201.5,1300,620.5
ATP1A1/Na+K+ ATPase1 (Phospho-Ser23),2014.5,2120,2700,2400,2677.5,1850.5,2301,1918,1749,1510,1974.5,3031.5,2362.5,2590,1966,1761,1352,1792,2522,2173.5,5535.5,1497.5
PIP5K (Phospho-Ser307),819,913,1450,981.5,1344.5,738.5,1318,601,581.5,756,976.5,2245,1152,1491.5,1227,907.5,427,569,1336,1088.5,3629.5,547.5
WEE1 (Phospho-Ser642),927.5,997.5,1751.5,1124,1352.5,881,1337.5,672,639,839.5,1058,2474,1402.5,1861,1581,971.5,506,649.5,1411,1190.5,2607.5,617
CK1-A (Phospho-Thr321),2469.5,2862.5,3286.5,2906,3200,2511.5,3002,2784.5,2740,2185.5,2783,3888,2665,3509.5,2747.5,2584.5,2188.5,2413,3088.5,2851,3480,2416.5
HSP90B (Phospho-Ser226),3541,4010.5,5050,4284,4579.5,3513.5,3591.5,5046,3759,3786,4645.5,4760,3443.5,5411.5,4780,4762,3167.5,4953.5,4203.5,4432.5,5004,3851
Merlin (Phospho-Ser10),1830,1328,2762.5,2687.5,2199,1621.5,2603,1786.5,1706,1676,2506,3141.5,2259,2673.5,2519,1992.5,1723.5,1868,2688.5,2632,2538,1683.5
CK1-A/A2 (Phospho-Tyr294),1612.5,1519.5,2202.5,1762.5,2091.5,1345.5,1702,1267,1280.5,1371.5,1583,2717,1664.5,2193.5,1566.5,1348.5,1104.5,1331,1924,1604.5,1817.5,962.5
MER/SKY (Phospho-Tyr749/Tyr681),2058.5,3299.5,2748.5,2105.5,2207,1795.5,2214.5,1376,1679,1622.5,2174.5,3485.5,2650,3352,2598.5,2001.5,1344.5,2191,2338,1737,5373.5,1626
CD22/BL-CAM (Phospho-Tyr807),1049.5,1085.5,1731.5,1210,1433.5,943,1262.5,814,761,925,1058,2127,1387.5,2137.5,1500.5,1016,653,1036.5,1490,1967,3628.5,683.5
FRS2 (Phospho-Tyr436),1955,2407,3020,2619.5,1855.5,1514.5,1989.5,1316,1367,1436,1910.5,3618,2402,2805,2602.5,1615.5,1468.5,2123.5,2353.5,4916.5,2818,1324.5
Ephrin B1/B2/B3 (Phospho-Tyr324),3685.5,3582.5,5229,5128,2993,2619.5,2463.5,2394,2183,1724,2314,4215,3136.5,4359,3041.5,1759.5,2406,2055.5,3524.5,4700,4376.5,2127
EPB41 (Phospho-Tyr418/660),1466,1436,1942,1666,1820,1216.5,1239.5,1017,1024,1223.5,1290,2493.5,1514,2409.5,1590,1244.5,968.5,1122,2019,1514,1624,809
Mnk1 (Phospho-Thr385),2326,2626,3217.5,2887.5,2590.5,2429.5,2250.5,2370.5,2250.5,1733.5,2115.5,3725,2995.5,3874.5,2665,2824.5,1911.5,2355,3552,3006,3248,1957
TIF-IA (Phospho-Ser649),2042,1913.5,2482,2192.5,2345,1757,2171.5,1856.5,1789.5,1601.5,1812,2813.5,1837,2632,2222.5,2049,1556.5,1637,2325,2068,2102,1573
MDM2 (Ab-166),29888,42204.5,42276.5,40407,34195.5,24798,31043,26467.5,28340.5,19902,23725.5,33282.5,22848.5,39550.5,27604,30767.5,15959.5,25113,32378,31893,33584.5,23142.5
NFAT3 (Ab-676),2807.5,2669.5,3196.5,2776.5,3205,1871,2408.5,1384.5,1395,1638.5,1891,3848.5,2053,3110,2022.5,1673,1085.5,1659.5,2239,2129,2025,1174.5
NFAT4 (Ab-165),1264,1192,1637,1182.5,1468,866,1324,663.5,637,728.5,1032.5,2443,1314.5,1688.5,1170,843.5,502,652,1214,1052,1173,542
NFkB-p65 (Ab-505),2788,3182,4134,3432.5,3059,2123,2742,1781,1694.5,1497.5,2216.5,3964.5,2646.5,3884,2730.5,2572,1532,2032,2722,2694,2889,1640
p300 (Ab-89),4107.5,5178.5,4615.5,3245.5,4239.5,2518,2940.5,1760,1895,1949,2382,4542.5,2361,3413,2381,2071.5,1441,2289.5,2831,2919,2708.5,1487
p53 (Ab-20),4835,5366.5,6266.5,5284,5778.5,4402,4960,4456.5,4494.5,3434,4319.5,5843,4278.5,6264,3198.5,3385.5,3271,3928,5002.5,4684.5,4906,3823
p53 (Ab-392),1484.5,1475.5,2025,1832.5,2772,1493,1617.5,1321,1374.5,1354.5,1541.5,2479.5,1556,1931.5,1903.5,1113.5,965,1288.5,1668.5,1414.5,2377.5,1083
P70S6K (Ab-229),1270.5,1225,2067.5,2154.5,2511,1501.5,1455.5,1262.5,1120.5,1260.5,1881,2667,1679,2094,1600,969.5,914.5,1422,1441,1582,2141.5,798.5
P70S6K (Ab-371),1659,1349.5,2142,1576.5,1795,1279,1436.5,1132,1077.5,1146.5,1342,2318.5,1399.5,2015,1631.5,1088,909.5,1103.5,1612.5,1360.5,1869.5,892.5
P70S6K (Ab-418),1328.5,1150.5,1739,1218,1324.5,810,1368.5,682.5,1192.5,819,1200.5,2647,1425.5,2101,1583.5,1021,541.5,711.5,1581,1240.5,1428.5,603.5
P90RSK (Ab-359/363),16460.5,23764.5,22220,20221,23081.5,17206.5,14777,12726.5,14382,10092,15303.5,19991,14291.5,24125.5,12012,13444,8264.5,17727.5,16700,15143.5,15446,11722.5
P90RSK (Ab-380),1346.5,1425.5,2265.5,1598.5,1749,1125,1504,879,882.5,1051.5,1535,2537.5,1542.5,2079.5,1786,1127,745.5,932.5,1702,1408.5,1583.5,773
P90RSK (Ab-573),5198.5,1918.5,2338,5586.5,1847.5,1738.5,5404.5,3489,1442.5,3194.5,4295,13339.5,1883,7941,5415,2323,925.5,1632,1821.5,1856,5369,2491
PAK1 (Ab-212),1414,1511,2142,1722,1728,1242,1621.5,1056,948,1175.5,1322.5,2790,1455.5,3799.5,1790,1329.5,784.5,1011.5,1833.5,1606,1725,897.5
PAK1/2/3 (Ab-423/402/421),26342.5,35099.5,33356,28049.5,24059.5,21579,18847.5,15444.5,18001.5,14860,15863,26210.5,18802,34014.5,25380.5,29475.5,11676,21480.5,27430.5,24541.5,25178.5,19007.5
PAK1/2/3 (Ab-141),1097,1209.5,1831.5,1257.5,1506,959.5,1302.5,723.5,749,987.5,1113.5,2619,1328,2229,1568,1082,588,816,1634,1368.5,1544.5,669
PEA-15 (Ab-116),1127,1464,2292,1771.5,1875.5,969,1593,813,1044,965.5,1194.5,2590.5,1839.5,2529,2282.5,1413.5,769,973,3879,1674,1805.5,1248
PKA CAT (Ab-197),891,1480.5,1756.5,1319,1920,1179.5,1272,1087.5,877.5,902,1045.5,3182.5,1364.5,1604.5,1744.5,1004.5,652.5,1152,1589.5,1557.5,1354.5,1431.5
PP2A-alpha (Ab-307),4539.5,5974,6623.5,6806.5,5356.5,3224,3391.5,2216.5,3808.5,3906.5,2867,5666.5,1988,3486,3826,3952.5,1809,2440.5,4053.5,2809,2835,2692
14-3-3 beta/zeta (Ab-184/186),1274.5,1052.5,1840.5,1457.5,1852,1174,1472,945,1014,1009,1170.5,2674,1118.5,1808,1529,1132,834,910.5,1606.5,1344.5,1321,707.5
Catenin beta (Ab-489),897,932.5,1477,1018.5,1450,745.5,1428.5,585.5,2237,734,1097,2466.5,1335,1527,1346,835.5,1321,608.5,1301,1172.5,1428,520.5
CDC25A (Ab-178),1244,1175,2139,1356.5,1517.5,1001.5,1658,739,970.5,916.5,1243,2728,1647,1904,1725.5,1085.5,727.5,962.5,1536,1375,1618,732.5
CREB (Ab-100),1659,1943.5,2808.5,1966,2107.5,1439.5,1646.5,1030.5,1045,1275,1572.5,2997.5,1854.5,2272,1919,1407,997,1320.5,1783,1680,1986,990.5
EGFR (Ab-998),1156,1207.5,1999.5,1302,1774,985,1312.5,846.5,806.5,974.5,1187,2275.5,1363,1635.5,1635,1087.5,664.5,934,1483,1413,1411.5,680.5
Ezrin (Ab-478),1833,2619,2745,2310,4108,1405,1544.5,756,778.5,1005.5,1293,3033.5,1726.5,2335.5,1759,1074.5,628,870,1616.5,1456.5,1589.5,632.5
HER2 (Ab-1112),1054.5,887,1676.5,1153,2029,897.5,1319,702,688,852,1045,1936.5,1280.5,1424.5,1468,836.5,546.5,710,1378,1199.5,1290.5,606.5
NFkB-p65 (Ab-281),1283,1324.5,2105,1445,2114,1230.5,1447,1066,989.5,1108.5,1321,2366,1500.5,1922,1821.5,1195,884.5,1112.5,1761,1615,1728.5,951
p53 (Ab-387),1420,1491,2066.5,1649.5,1783.5,1197,1694,1071.5,1067.5,1206.5,1397.5,2661.5,1751,2208.5,1936,1342.5,863.5,1212.5,1840.5,1612.5,2035,900.5
